"","t","c","N","t2"
"101","2006-05","Parlement",8,2006-05-01
"102","2006-05","UE/IPRED",1,2006-05-01
"103","2006-06","ACTA/SOPA/PIPA",0,2006-06-01
"104","2006-06","Classe politique : Droite",5,2006-06-01
"105","2006-06","Classe politique : Gauche",3,2006-06-01
"106","2006-06","CNIL/CSA",0,2006-06-01
"107","2006-06","Conseils/Rapports",1,2006-06-01
"108","2006-06","DRM",9,2006-06-01
"109","2006-06","Exécutif : Ministère",3,2006-06-01
"110","2006-06","Exécutif : PR/PM/GOUV",1,2006-06-01
"111","2006-06","HADOPI/DADVSI/LOPPSI",11,2006-06-01
"112","2006-06","Industrie : Culture",5,2006-06-01
"113","2006-06","Industrie : Info/Web",2,2006-06-01
"114","2006-06","Industrie : Télécom",0,2006-06-01
"115","2006-06","Opposants : Autres",3,2006-06-01
"116","2006-06","Opposants : EUCD/LQDN",1,2006-06-01
"117","2006-06","P2P/DDL",1,2006-06-01
"118","2006-06","Parlement",10,2006-06-01
"119","2006-06","UE/IPRED",0,2006-06-01
"120","2006-07","ACTA/SOPA/PIPA",0,2006-07-01
"121","2006-07","Classe politique : Droite",2,2006-07-01
"122","2006-07","Classe politique : Gauche",4,2006-07-01
"123","2006-07","CNIL/CSA",0,2006-07-01
"124","2006-07","Conseils/Rapports",0,2006-07-01
"125","2006-07","DRM",4,2006-07-01
"126","2006-07","Exécutif : Ministère",4,2006-07-01
"127","2006-07","Exécutif : PR/PM/GOUV",0,2006-07-01
"128","2006-07","HADOPI/DADVSI/LOPPSI",8,2006-07-01
"129","2006-07","Industrie : Culture",5,2006-07-01
"130","2006-07","Industrie : Info/Web",3,2006-07-01
"131","2006-07","Industrie : Télécom",0,2006-07-01
"132","2006-07","Opposants : Autres",1,2006-07-01
"133","2006-07","Opposants : EUCD/LQDN",2,2006-07-01
"134","2006-07","P2P/DDL",0,2006-07-01
"135","2006-07","Parlement",6,2006-07-01
"136","2006-07","UE/IPRED",0,2006-07-01
"137","2006-08","ACTA/SOPA/PIPA",0,2006-08-01
"138","2006-08","Classe politique : Droite",0,2006-08-01
"139","2006-08","Classe politique : Gauche",3,2006-08-01
"140","2006-08","CNIL/CSA",0,2006-08-01
"141","2006-08","Conseils/Rapports",0,2006-08-01
"142","2006-08","DRM",2,2006-08-01
"143","2006-08","Exécutif : Ministère",2,2006-08-01
"144","2006-08","Exécutif : PR/PM/GOUV",1,2006-08-01
"145","2006-08","HADOPI/DADVSI/LOPPSI",5,2006-08-01
"146","2006-08","Industrie : Culture",0,2006-08-01
"147","2006-08","Industrie : Info/Web",1,2006-08-01
"148","2006-08","Industrie : Télécom",0,2006-08-01
"149","2006-08","Opposants : Autres",1,2006-08-01
"150","2006-08","Opposants : EUCD/LQDN",0,2006-08-01
"151","2006-08","P2P/DDL",0,2006-08-01
"152","2006-08","Parlement",2,2006-08-01
"153","2006-08","UE/IPRED",1,2006-08-01
"154","2006-09","ACTA/SOPA/PIPA",0,2006-09-01
"155","2006-09","Classe politique : Droite",1,2006-09-01
