"","t","c","N","t2"
"101","2006-02","Parlement",2,2006-02-01
"102","2006-02","UE/IPRED",0,2006-02-01
"103","2006-03","ACTA/SOPA/PIPA",0,2006-03-01
"104","2006-03","Classe politique : Droite",32,2006-03-01
"105","2006-03","Classe politique : Gauche",26,2006-03-01
"106","2006-03","CNIL/CSA",0,2006-03-01
"107","2006-03","Conseils/Rapports",0,2006-03-01
"108","2006-03","DRM",11,2006-03-01
"109","2006-03","Exécutif : Ministère",19,2006-03-01
"110","2006-03","Exécutif : PR/PM/GOUV",8,2006-03-01
"111","2006-03","HADOPI/DADVSI/LOPPSI",37,2006-03-01
"112","2006-03","Industrie : Culture",15,2006-03-01
"113","2006-03","Industrie : Info/Web",5,2006-03-01
"114","2006-03","Industrie : Télécom",0,2006-03-01
"115","2006-03","Opposants : Autres",7,2006-03-01
"116","2006-03","Opposants : EUCD/LQDN",2,2006-03-01
"117","2006-03","P2P/DDL",1,2006-03-01
"118","2006-03","Parlement",30,2006-03-01
"119","2006-03","UE/IPRED",1,2006-03-01
"120","2006-04","ACTA/SOPA/PIPA",0,2006-04-01
"121","2006-04","Classe politique : Droite",6,2006-04-01
"122","2006-04","Classe politique : Gauche",6,2006-04-01
"123","2006-04","CNIL/CSA",2,2006-04-01
"124","2006-04","Conseils/Rapports",0,2006-04-01
"125","2006-04","DRM",8,2006-04-01
"126","2006-04","Exécutif : Ministère",3,2006-04-01
"127","2006-04","Exécutif : PR/PM/GOUV",0,2006-04-01
"128","2006-04","HADOPI/DADVSI/LOPPSI",14,2006-04-01
"129","2006-04","Industrie : Culture",5,2006-04-01
"130","2006-04","Industrie : Info/Web",11,2006-04-01
"131","2006-04","Industrie : Télécom",5,2006-04-01
"132","2006-04","Opposants : Autres",0,2006-04-01
"133","2006-04","Opposants : EUCD/LQDN",1,2006-04-01
"134","2006-04","P2P/DDL",5,2006-04-01
"135","2006-04","Parlement",10,2006-04-01
"136","2006-04","UE/IPRED",0,2006-04-01
"137","2006-05","ACTA/SOPA/PIPA",0,2006-05-01
"138","2006-05","Classe politique : Droite",7,2006-05-01
"139","2006-05","Classe politique : Gauche",17,2006-05-01
"140","2006-05","CNIL/CSA",3,2006-05-01
"141","2006-05","Conseils/Rapports",0,2006-05-01
"142","2006-05","DRM",11,2006-05-01
"143","2006-05","Exécutif : Ministère",10,2006-05-01
"144","2006-05","Exécutif : PR/PM/GOUV",10,2006-05-01
"145","2006-05","HADOPI/DADVSI/LOPPSI",21,2006-05-01
"146","2006-05","Industrie : Culture",8,2006-05-01
"147","2006-05","Industrie : Info/Web",6,2006-05-01
"148","2006-05","Industrie : Télécom",1,2006-05-01
"149","2006-05","Opposants : Autres",2,2006-05-01
"150","2006-05","Opposants : EUCD/LQDN",3,2006-05-01
"151","2006-05","P2P/DDL",2,2006-05-01
"152","2006-05","Parlement",21,2006-05-01
"153","2006-05","UE/IPRED",2,2006-05-01
"154","2006-06","ACTA/SOPA/PIPA",0,2006-06-01
"155","2006-06","Classe politique : Droite",6,2006-06-01
"156","2006-06","Classe politique : Gauche",7,2006-06-01
"157","2006-06","CNIL/CSA",1,2006-06-01
"158","2006-06","Conseils/Rapports",0,2006-06-01
"159","2006-06","DRM",7,2006-06-01
"160","2006-06","Exécutif : Ministère",5,2006-06-01
"161","2006-06","Exécutif : PR/PM/GOUV",3,2006-06-01
"162","2006-06","HADOPI/DADVSI/LOPPSI",19,2006-06-01
"163","2006-06","Industrie : Culture",5,2006-06-01
"164","2006-06","Industrie : Info/Web",2,2006-06-01
"165","2006-06","Industrie : Télécom",3,2006-06-01
"166","2006-06","Opposants : Autres",5,2006-06-01
"167","2006-06","Opposants : EUCD/LQDN",5,2006-06-01
"168","2006-06","P2P/DDL",4,2006-06-01
"169","2006-06","Parlement",11,2006-06-01
"170","2006-06","UE/IPRED",0,2006-06-01
"171","2006-07","ACTA/SOPA/PIPA",0,2006-07-01
"172","2006-07","Classe politique : Droite",1,2006-07-01
"173","2006-07","Classe politique : Gauche",1,2006-07-01
"174","2006-07","CNIL/CSA",0,2006-07-01
"175","2006-07","Conseils/Rapports",0,2006-07-01
"176","2006-07","DRM",8,2006-07-01
"177","2006-07","Exécutif : Ministère",7,2006-07-01
"178","2006-07","Exécutif : PR/PM/GOUV",0,2006-07-01
"179","2006-07","HADOPI/DADVSI/LOPPSI",22,2006-07-01
"180","2006-07","Industrie : Culture",9,2006-07-01
"181","2006-07","Industrie : Info/Web",5,2006-07-01
"182","2006-07","Industrie : Télécom",0,2006-07-01
"183","2006-07","Opposants : Autres",2,2006-07-01
"184","2006-07","Opposants : EUCD/LQDN",0,2006-07-01
"185","2006-07","P2P/DDL",1,2006-07-01
"186","2006-07","Parlement",7,2006-07-01
"187","2006-07","UE/IPRED",0,2006-07-01
"188","2006-08","ACTA/SOPA/PIPA",0,2006-08-01
"189","2006-08","Classe politique : Droite",0,2006-08-01
"190","2006-08","Classe politique : Gauche",0,2006-08-01
"191","2006-08","CNIL/CSA",0,2006-08-01
"192","2006-08","Conseils/Rapports",0,2006-08-01
"193","2006-08","DRM",3,2006-08-01
"194","2006-08","Exécutif : Ministère",0,2006-08-01
"195","2006-08","Exécutif : PR/PM/GOUV",0,2006-08-01
"196","2006-08","HADOPI/DADVSI/LOPPSI",12,2006-08-01
"197","2006-08","Industrie : Culture",7,2006-08-01
"198","2006-08","Industrie : Info/Web",5,2006-08-01
"199","2006-08","Industrie : Télécom",0,2006-08-01
"200","2006-08","Opposants : Autres",0,2006-08-01
"201","2006-08","Opposants : EUCD/LQDN",0,2006-08-01
"202","2006-08","P2P/DDL",5,2006-08-01
"203","2006-08","Parlement",0,2006-08-01
"204","2006-08","UE/IPRED",0,2006-08-01
"205","2006-09","ACTA/SOPA/PIPA",0,2006-09-01
"206","2006-09","Classe politique : Droite",6,2006-09-01
"207","2006-09","Classe politique : Gauche",0,2006-09-01
"208","2006-09","CNIL/CSA",3,2006-09-01
"209","2006-09","Conseils/Rapports",0,2006-09-01
"210","2006-09","DRM",3,2006-09-01
"211","2006-09","Exécutif : Ministère",1,2006-09-01
"212","2006-09","Exécutif : PR/PM/GOUV",2,2006-09-01
"213","2006-09","HADOPI/DADVSI/LOPPSI",9,2006-09-01
"214","2006-09","Industrie : Culture",6,2006-09-01
"215","2006-09","Industrie : Info/Web",1,2006-09-01
"216","2006-09","Industrie : Télécom",2,2006-09-01
"217","2006-09","Opposants : Autres",1,2006-09-01
"218","2006-09","Opposants : EUCD/LQDN",0,2006-09-01
"219","2006-09","P2P/DDL",2,2006-09-01
"220","2006-09","Parlement",1,2006-09-01
"221","2006-09","UE/IPRED",0,2006-09-01
"222","2006-10","ACTA/SOPA/PIPA",0,2006-10-01
"223","2006-10","Classe politique : Droite",6,2006-10-01
"224","2006-10","Classe politique : Gauche",4,2006-10-01
"225","2006-10","CNIL/CSA",1,2006-10-01
"226","2006-10","Conseils/Rapports",0,2006-10-01
"227","2006-10","DRM",6,2006-10-01
"228","2006-10","Exécutif : Ministère",4,2006-10-01
"229","2006-10","Exécutif : PR/PM/GOUV",1,2006-10-01
"230","2006-10","HADOPI/DADVSI/LOPPSI",17,2006-10-01
"231","2006-10","Industrie : Culture",11,2006-10-01
"232","2006-10","Industrie : Info/Web",5,2006-10-01
"233","2006-10","Industrie : Télécom",2,2006-10-01
"234","2006-10","Opposants : Autres",0,2006-10-01
"235","2006-10","Opposants : EUCD/LQDN",2,2006-10-01
"236","2006-10","P2P/DDL",1,2006-10-01
"237","2006-10","Parlement",3,2006-10-01
"238","2006-10","UE/IPRED",1,2006-10-01
"239","2006-11","ACTA/SOPA/PIPA",0,2006-11-01
"240","2006-11","Classe politique : Droite",5,2006-11-01
"241","2006-11","Classe politique : Gauche",1,2006-11-01
"242","2006-11","CNIL/CSA",0,2006-11-01
"243","2006-11","Conseils/Rapports",0,2006-11-01
"244","2006-11","DRM",3,2006-11-01
"245","2006-11","Exécutif : Ministère",1,2006-11-01
"246","2006-11","Exécutif : PR/PM/GOUV",2,2006-11-01
"247","2006-11","HADOPI/DADVSI/LOPPSI",11,2006-11-01
"248","2006-11","Industrie : Culture",3,2006-11-01
"249","2006-11","Industrie : Info/Web",3,2006-11-01
"250","2006-11","Industrie : Télécom",0,2006-11-01
"251","2006-11","Opposants : Autres",0,2006-11-01
"252","2006-11","Opposants : EUCD/LQDN",0,2006-11-01
"253","2006-11","P2P/DDL",1,2006-11-01
"254","2006-11","Parlement",3,2006-11-01
"255","2006-11","UE/IPRED",0,2006-11-01
"256","2006-12","ACTA/SOPA/PIPA",0,2006-12-01
"257","2006-12","Classe politique : Droite",4,2006-12-01
"258","2006-12","Classe politique : Gauche",4,2006-12-01
"259","2006-12","CNIL/CSA",2,2006-12-01
"260","2006-12","Conseils/Rapports",3,2006-12-01
"261","2006-12","DRM",7,2006-12-01
"262","2006-12","Exécutif : Ministère",9,2006-12-01
"263","2006-12","Exécutif : PR/PM/GOUV",8,2006-12-01
"264","2006-12","HADOPI/DADVSI/LOPPSI",11,2006-12-01
"265","2006-12","Industrie : Culture",7,2006-12-01
"266","2006-12","Industrie : Info/Web",2,2006-12-01
"267","2006-12","Industrie : Télécom",1,2006-12-01
"268","2006-12","Opposants : Autres",0,2006-12-01
"269","2006-12","Opposants : EUCD/LQDN",1,2006-12-01
"270","2006-12","P2P/DDL",3,2006-12-01
"271","2006-12","Parlement",5,2006-12-01
"272","2006-12","UE/IPRED",2,2006-12-01
"273","2007-01","ACTA/SOPA/PIPA",0,2007-01-01
"274","2007-01","Classe politique : Droite",2,2007-01-01
"275","2007-01","Classe politique : Gauche",3,2007-01-01
"276","2007-01","CNIL/CSA",3,2007-01-01
"277","2007-01","Conseils/Rapports",0,2007-01-01
"278","2007-01","DRM",6,2007-01-01
"279","2007-01","Exécutif : Ministère",6,2007-01-01
"280","2007-01","Exécutif : PR/PM/GOUV",2,2007-01-01
"281","2007-01","HADOPI/DADVSI/LOPPSI",14,2007-01-01
"282","2007-01","Industrie : Culture",4,2007-01-01
"283","2007-01","Industrie : Info/Web",2,2007-01-01
"284","2007-01","Industrie : Télécom",6,2007-01-01
"285","2007-01","Opposants : Autres",2,2007-01-01
"286","2007-01","Opposants : EUCD/LQDN",0,2007-01-01
"287","2007-01","P2P/DDL",5,2007-01-01
"288","2007-01","Parlement",3,2007-01-01
"289","2007-01","UE/IPRED",0,2007-01-01
"290","2007-02","ACTA/SOPA/PIPA",0,2007-02-01
"291","2007-02","Classe politique : Droite",2,2007-02-01
"292","2007-02","Classe politique : Gauche",1,2007-02-01
"293","2007-02","CNIL/CSA",0,2007-02-01
"294","2007-02","Conseils/Rapports",0,2007-02-01
"295","2007-02","DRM",2,2007-02-01
"296","2007-02","Exécutif : Ministère",2,2007-02-01
"297","2007-02","Exécutif : PR/PM/GOUV",1,2007-02-01
"298","2007-02","HADOPI/DADVSI/LOPPSI",7,2007-02-01
"299","2007-02","Industrie : Culture",4,2007-02-01
"300","2007-02","Industrie : Info/Web",1,2007-02-01
"301","2007-02","Industrie : Télécom",0,2007-02-01
"302","2007-02","Opposants : Autres",1,2007-02-01
"303","2007-02","Opposants : EUCD/LQDN",1,2007-02-01
"304","2007-02","P2P/DDL",3,2007-02-01
"305","2007-02","Parlement",4,2007-02-01
"306","2007-02","UE/IPRED",1,2007-02-01
"307","2007-03","ACTA/SOPA/PIPA",0,2007-03-01
"308","2007-03","Classe politique : Droite",3,2007-03-01
"309","2007-03","Classe politique : Gauche",5,2007-03-01
"310","2007-03","CNIL/CSA",2,2007-03-01
"311","2007-03","Conseils/Rapports",2,2007-03-01
"312","2007-03","DRM",7,2007-03-01
"313","2007-03","Exécutif : Ministère",6,2007-03-01
"314","2007-03","Exécutif : PR/PM/GOUV",3,2007-03-01
"315","2007-03","HADOPI/DADVSI/LOPPSI",17,2007-03-01
"316","2007-03","Industrie : Culture",11,2007-03-01
"317","2007-03","Industrie : Info/Web",3,2007-03-01
"318","2007-03","Industrie : Télécom",3,2007-03-01
"319","2007-03","Opposants : Autres",2,2007-03-01
"320","2007-03","Opposants : EUCD/LQDN",1,2007-03-01
"321","2007-03","P2P/DDL",3,2007-03-01
"322","2007-03","Parlement",0,2007-03-01
"323","2007-03","UE/IPRED",1,2007-03-01
"324","2007-04","ACTA/SOPA/PIPA",0,2007-04-01
"325","2007-04","Classe politique : Droite",0,2007-04-01
"326","2007-04","Classe politique : Gauche",2,2007-04-01
"327","2007-04","CNIL/CSA",3,2007-04-01
"328","2007-04","Conseils/Rapports",0,2007-04-01
"329","2007-04","DRM",2,2007-04-01
"330","2007-04","Exécutif : Ministère",1,2007-04-01
"331","2007-04","Exécutif : PR/PM/GOUV",2,2007-04-01
"332","2007-04","HADOPI/DADVSI/LOPPSI",7,2007-04-01
"333","2007-04","Industrie : Culture",1,2007-04-01
"334","2007-04","Industrie : Info/Web",1,2007-04-01
"335","2007-04","Industrie : Télécom",2,2007-04-01
"336","2007-04","Opposants : Autres",3,2007-04-01
"337","2007-04","Opposants : EUCD/LQDN",0,2007-04-01
"338","2007-04","P2P/DDL",2,2007-04-01
"339","2007-04","Parlement",0,2007-04-01
"340","2007-04","UE/IPRED",0,2007-04-01
"341","2007-05","ACTA/SOPA/PIPA",0,2007-05-01
"342","2007-05","Classe politique : Droite",0,2007-05-01
"343","2007-05","Classe politique : Gauche",0,2007-05-01
"344","2007-05","CNIL/CSA",0,2007-05-01
"345","2007-05","Conseils/Rapports",1,2007-05-01
"346","2007-05","DRM",2,2007-05-01
"347","2007-05","Exécutif : Ministère",2,2007-05-01
"348","2007-05","Exécutif : PR/PM/GOUV",2,2007-05-01
"349","2007-05","HADOPI/DADVSI/LOPPSI",3,2007-05-01
"350","2007-05","Industrie : Culture",1,2007-05-01
"351","2007-05","Industrie : Info/Web",0,2007-05-01
"352","2007-05","Industrie : Télécom",0,2007-05-01
"353","2007-05","Opposants : Autres",0,2007-05-01
"354","2007-05","Opposants : EUCD/LQDN",0,2007-05-01
"355","2007-05","P2P/DDL",0,2007-05-01
"356","2007-05","Parlement",0,2007-05-01
"357","2007-05","UE/IPRED",0,2007-05-01
"358","2007-06","ACTA/SOPA/PIPA",0,2007-06-01
"359","2007-06","Classe politique : Droite",1,2007-06-01
"360","2007-06","Classe politique : Gauche",0,2007-06-01
"361","2007-06","CNIL/CSA",0,2007-06-01
"362","2007-06","Conseils/Rapports",0,2007-06-01
"363","2007-06","DRM",1,2007-06-01
"364","2007-06","Exécutif : Ministère",6,2007-06-01
"365","2007-06","Exécutif : PR/PM/GOUV",5,2007-06-01
"366","2007-06","HADOPI/DADVSI/LOPPSI",6,2007-06-01
"367","2007-06","Industrie : Culture",4,2007-06-01
"368","2007-06","Industrie : Info/Web",0,2007-06-01
"369","2007-06","Industrie : Télécom",0,2007-06-01
"370","2007-06","Opposants : Autres",1,2007-06-01
"371","2007-06","Opposants : EUCD/LQDN",0,2007-06-01
"372","2007-06","P2P/DDL",0,2007-06-01
"373","2007-06","Parlement",3,2007-06-01
"374","2007-06","UE/IPRED",0,2007-06-01
"375","2007-07","ACTA/SOPA/PIPA",0,2007-07-01
"376","2007-07","Classe politique : Droite",1,2007-07-01
"377","2007-07","Classe politique : Gauche",0,2007-07-01
"378","2007-07","CNIL/CSA",0,2007-07-01
"379","2007-07","Conseils/Rapports",1,2007-07-01
"380","2007-07","DRM",1,2007-07-01
"381","2007-07","Exécutif : Ministère",1,2007-07-01
"382","2007-07","Exécutif : PR/PM/GOUV",1,2007-07-01
"383","2007-07","HADOPI/DADVSI/LOPPSI",3,2007-07-01
"384","2007-07","Industrie : Culture",2,2007-07-01
"385","2007-07","Industrie : Info/Web",0,2007-07-01
"386","2007-07","Industrie : Télécom",1,2007-07-01
