"t","i","j","w"
"2012-10-02","Aurélie Filippetti","Frédéric Mitterrand",9.68783377614805e-06
"2012-10-02","Aurélie Filippetti","Jean-Marc Ayrault",9.36713307183423e-05
"2012-10-02","Frédéric Mitterrand","Jean-Marc Ayrault",3.93526489251808e-05
"2012-01-03","Conseil d'Etat","Jean Musitelli",0.000645994832041344
"2012-01-03","Conseil d'Etat","Michel Thiollière",0.00018754688672168
"2012-01-03","Jean Musitelli","Michel Thiollière",0.0017921146953405
"2013-06-03","Amazon","Arcep",0.00017636684303351
"2013-06-03","Amazon","Aurélie Filippetti",6.46778235912362e-05
"2013-06-03","Amazon","CSA",4.77383936030552e-05
"2013-06-03","Amazon","François Hollande",6.38111190875009e-05
"2013-06-03","Amazon","Mission Lescure",4.52437507069335e-05
"2013-06-03","Amazon","Netflix",0.000476190476190476
"2013-06-03","Arcep","Aurélie Filippetti",6.28812173803685e-05
"2013-06-03","Arcep","CSA",4.64123271140815e-05
"2013-06-03","Arcep","François Hollande",6.2038588001737e-05
"2013-06-03","Arcep","Mission Lescure",4.39869798539632e-05
"2013-06-03","Arcep","Netflix",0.000462962962962963
"2013-06-03","Aurélie Filippetti","CSA",1.70204798924306e-05
"2013-06-03","Aurélie Filippetti","François Hollande",2.27509932230479e-05
"2013-06-03","Aurélie Filippetti","Mission Lescure",1.61310486391444e-05
"2013-06-03","Aurélie Filippetti","Netflix",0.000169779286926995
"2013-06-03","CSA","François Hollande",1.67923997598687e-05
"2013-06-03","CSA","Mission Lescure",1.19062501860351e-05
"2013-06-03","CSA","Netflix",0.00012531328320802
"2013-06-03","François Hollande","Mission Lescure",1.59148871833434e-05
"2013-06-03","François Hollande","Netflix",0.00016750418760469
"2013-06-03","Mission Lescure","Netflix",0.000118764845605701
"2011-10-03","Catherine Tasca","Christine Albanel",0.000198609731876862
"2011-10-03","Catherine Tasca","CMP",0.00119047619047619
"2011-10-03","Catherine Tasca","Éric Walter",0.000598802395209581
"2011-10-03","Catherine Tasca","FNAC",0.000694444444444444
"2011-10-03","Catherine Tasca","Frédéric Mitterrand",0.000285306704707561
"2011-10-03","Catherine Tasca","Guillaume Cerutti",0.01
"2011-10-03","Catherine Tasca","Jack Lang",0.00136986301369863
"2011-10-03","Catherine Tasca","Jacques Toubon",0.00181818181818182
"2011-10-03","Catherine Tasca","Jean-François Copé",0.00141843971631206
"2011-10-03","Catherine Tasca","Mission Olivennes",0.000557103064066852
"2011-10-03","Catherine Tasca","Mission Zelnik",0.000769230769230769
"2011-10-03","Catherine Tasca","Naïve",0.0037037037037037
"2011-10-03","Catherine Tasca","Nicolas Sarkozy",0.000151515151515152
"2011-10-03","Catherine Tasca","PCF",0.00625
"2011-10-03","Catherine Tasca","UMP",0.000126903553299492
"2011-10-03","Catherine Tasca","Verts",0.000757575757575758
"2011-10-03","Christine Albanel","CMP",4.72880313992528e-05
"2011-10-03","Christine Albanel","Éric Walter",2.37855966319595e-05
"2011-10-03","Christine Albanel","FNAC",2.75846849828975e-05
"2011-10-03","Christine Albanel","Frédéric Mitterrand",1.13329376249279e-05
"2011-10-03","Christine Albanel","Guillaume Cerutti",0.000397219463753724
"2011-10-03","Christine Albanel","Jack Lang",5.4413625171743e-05
"2011-10-03","Christine Albanel","Jacques Toubon",7.22217206824953e-05
"2011-10-03","Christine Albanel","Jean-François Copé",5.63431863480461e-05
"2011-10-03","Christine Albanel","Mission Olivennes",2.21292180364192e-05
"2011-10-03","Christine Albanel","Mission Zelnik",3.05553433656711e-05
"2011-10-03","Christine Albanel","Naïve",0.000147118319908787
"2011-10-03","Christine Albanel","Nicolas Sarkozy",6.01847672354129e-06
"2011-10-03","Christine Albanel","PCF",0.000248262164846078
"2011-10-03","Christine Albanel","UMP",5.04085613900663e-06
"2011-10-03","Christine Albanel","Verts",3.00923836177064e-05
"2011-10-03","CMP","Éric Walter",0.000142571998859424
"2011-10-03","CMP","FNAC",0.000165343915343915
"2011-10-03","CMP","Frédéric Mitterrand",6.79301677875145e-05
"2011-10-03","CMP","Guillaume Cerutti",0.00238095238095238
"2011-10-03","CMP","Jack Lang",0.000326157860404436
"2011-10-03","CMP","Jacques Toubon",0.000432900432900433
"2011-10-03","CMP","Jean-François Copé",0.000337723741979062
"2011-10-03","CMP","Mission Olivennes",0.000132643586682584
"2011-10-03","CMP","Mission Zelnik",0.000183150183150183
"2011-10-03","CMP","Naïve",0.000881834215167547
"2011-10-03","CMP","Nicolas Sarkozy",3.60750360750362e-05
"2011-10-03","CMP","PCF",0.00148809523809524
"2011-10-03","CMP","UMP",3.02151317379743e-05
"2011-10-03","CMP","Verts",0.00018037518037518
"2011-10-03","Éric Walter","FNAC",8.3166999334664e-05
"2011-10-03","Éric Walter","Frédéric Mitterrand",3.4168467629648e-05
"2011-10-03","Éric Walter","Guillaume Cerutti",0.00119760479041916
"2011-10-03","Éric Walter","Jack Lang",0.000164055450742351
"2011-10-03","Éric Walter","Jacques Toubon",0.000217746325530757
"2011-10-03","Éric Walter","Jean-François Copé",0.000169873019917612
"2011-10-03","Éric Walter","Mission Olivennes",6.67189298283655e-05
"2011-10-03","Éric Walter","Mission Zelnik",9.21234454168586e-05
"2011-10-03","Éric Walter","Naïve",0.000443557329784874
"2011-10-03","Éric Walter","Nicolas Sarkozy",1.81455271275631e-05
"2011-10-03","Éric Walter","PCF",0.000748502994011976
"2011-10-03","Éric Walter","UMP",1.51980303352685e-05
"2011-10-03","Éric Walter","Verts",9.07276356378153e-05
"2011-10-03","FNAC","Frédéric Mitterrand",3.96259312093834e-05
"2011-10-03","FNAC","Guillaume Cerutti",0.00138888888888889
"2011-10-03","FNAC","Jack Lang",0.000190258751902587
"2011-10-03","FNAC","Jacques Toubon",0.000252525252525253
"2011-10-03","FNAC","Jean-François Copé",0.000197005516154453
"2011-10-03","FNAC","Mission Olivennes",7.73754255648405e-05
"2011-10-03","FNAC","Mission Zelnik",0.000106837606837607
"2011-10-03","FNAC","Naïve",0.000514403292181069
"2011-10-03","FNAC","Nicolas Sarkozy",2.10437710437711e-05
"2011-10-03","FNAC","PCF",0.000868055555555555
"2011-10-03","FNAC","UMP",1.76254935138183e-05
"2011-10-03","FNAC","Verts",0.000105218855218855
"2011-10-03","Frédéric Mitterrand","Guillaume Cerutti",0.000570613409415122
"2011-10-03","Frédéric Mitterrand","Jack Lang",7.81662204678249e-05
"2011-10-03","Frédéric Mitterrand","Jacques Toubon",0.000103747892620931
"2011-10-03","Frédéric Mitterrand","Jean-François Copé",8.09380722574643e-05
"2011-10-03","Frédéric Mitterrand","Mission Olivennes",3.17890478782798e-05
"2011-10-03","Frédéric Mitterrand","Mission Zelnik",4.38933391857786e-05
"2011-10-03","Frédéric Mitterrand","Naïve",0.000211338299783378
"2011-10-03","Frédéric Mitterrand","Nicolas Sarkozy",8.64565771841097e-06
"2011-10-03","Frédéric Mitterrand","PCF",0.000356633380884451
"2011-10-03","Frédéric Mitterrand","UMP",7.24128692151168e-06
"2011-10-03","Frédéric Mitterrand","Verts",4.32282885920547e-05
"2011-10-03","Guillaume Cerutti","Jack Lang",0.00273972602739726
"2011-10-03","Guillaume Cerutti","Jacques Toubon",0.00363636363636364
"2011-10-03","Guillaume Cerutti","Jean-François Copé",0.00283687943262412
"2011-10-03","Guillaume Cerutti","Mission Olivennes",0.0011142061281337
"2011-10-03","Guillaume Cerutti","Mission Zelnik",0.00153846153846154
"2011-10-03","Guillaume Cerutti","Naïve",0.0074074074074074
"2011-10-03","Guillaume Cerutti","Nicolas Sarkozy",0.000303030303030304
"2011-10-03","Guillaume Cerutti","PCF",0.0125
"2011-10-03","Guillaume Cerutti","UMP",0.000253807106598984
"2011-10-03","Guillaume Cerutti","Verts",0.00151515151515152
"2011-10-03","Jack Lang","Jacques Toubon",0.00049813200498132
"2011-10-03","Jack Lang","Jean-François Copé",0.000388613620907414
"2011-10-03","Jack Lang","Mission Olivennes",0.000152630976456672
"2011-10-03","Jack Lang","Mission Zelnik",0.000210748155953635
"2011-10-03","Jack Lang","Naïve",0.00101471334348047
"2011-10-03","Jack Lang","Nicolas Sarkozy",4.15110004151101e-05
"2011-10-03","Jack Lang","PCF",0.00171232876712329
"2011-10-03","Jack Lang","UMP",3.47680967943814e-05
"2011-10-03","Jack Lang","Verts",0.00020755500207555
"2011-10-03","Jacques Toubon","Jean-François Copé",0.000515796260477113
"2011-10-03","Jacques Toubon","Mission Olivennes",0.000202582932387946
"2011-10-03","Jacques Toubon","Mission Zelnik",0.00027972027972028
"2011-10-03","Jacques Toubon","Naïve",0.00134680134680135
"2011-10-03","Jacques Toubon","Nicolas Sarkozy",5.50964187327826e-05
"2011-10-03","Jacques Toubon","PCF",0.00227272727272727
"2011-10-03","Jacques Toubon","UMP",4.61467466543608e-05
"2011-10-03","Jacques Toubon","Verts",0.000275482093663912
"2011-10-03","Jean-François Copé","Mission Olivennes",0.000158043422430313
"2011-10-03","Jean-François Copé","Mission Zelnik",0.00021822149481724
"2011-10-03","Jean-François Copé","Naïve",0.00105069608615708
"2011-10-03","Jean-François Copé","Nicolas Sarkozy",4.29830217064262e-05
"2011-10-03","Jean-François Copé","PCF",0.00177304964539007
"2011-10-03","Jean-François Copé","UMP",3.60010080282248e-05
"2011-10-03","Jean-François Copé","Verts",0.00021491510853213
"2011-10-03","Mission Olivennes","Mission Zelnik",8.57081637025926e-05
"2011-10-03","Mission Olivennes","Naïve",0.000412668936345816
"2011-10-03","Mission Olivennes","Nicolas Sarkozy",1.68819110323289e-05
"2011-10-03","Mission Olivennes","PCF",0.000696378830083565
"2011-10-03","Mission Olivennes","UMP",1.41396716768236e-05
"2011-10-03","Mission Olivennes","Verts",8.44095551616443e-05
"2011-10-03","Mission Zelnik","Naïve",0.000569800569800569
"2011-10-03","Mission Zelnik","Nicolas Sarkozy",2.33100233100234e-05
"2011-10-03","Mission Zelnik","PCF",0.000961538461538461
"2011-10-03","Mission Zelnik","UMP",1.95236235845372e-05
"2011-10-03","Mission Zelnik","Verts",0.000116550116550117
"2011-10-03","Naïve","Nicolas Sarkozy",0.000112233445566779
"2011-10-03","Naïve","PCF",0.00462962962962963
"2011-10-03","Naïve","UMP",9.40026320736977e-05
"2011-10-03","Naïve","Verts",0.000561167227833894
"2011-10-03","Nicolas Sarkozy","PCF",0.00018939393939394
"2011-10-03","Nicolas Sarkozy","UMP",3.84556222119674e-06
"2011-10-03","Nicolas Sarkozy","Verts",2.29568411386594e-05
"2011-10-03","PCF","UMP",0.000158629441624365
"2011-10-03","PCF","Verts",0.000946969696969698
"2011-10-03","UMP","Verts",1.92278111059836e-05
"2011-10-03","Christine Albanel","CNIL",1.05363252985073e-05
"2011-10-03","Christine Albanel","François Fillon",6.45885306916624e-05
"2011-10-03","Christine Albanel","Frédéric Mitterrand",1.13329376249279e-05
"2011-10-03","Christine Albanel","Guillaume Cerutti",0.000397219463753724
"2011-10-03","Christine Albanel","Jacques Toubon",7.22217206824953e-05
"2011-10-03","Christine Albanel","Mission Olivennes",2.21292180364192e-05
"2011-10-03","Christine Albanel","Mission Zelnik",4.58330150485065e-05
"2011-10-03","Christine Albanel","Naïve",0.000147118319908787
"2011-10-03","Christine Albanel","Nicolas Sarkozy",6.01847672354129e-06
"2011-10-03","Christine Albanel","Olivier Henrard",0.000147118319908787
"2011-10-03","CNIL","François Fillon",8.62608095576975e-05
"2011-10-03","CNIL","Frédéric Mitterrand",1.51356342019926e-05
"2011-10-03","CNIL","Guillaume Cerutti",0.00053050397877984
"2011-10-03","CNIL","Jacques Toubon",9.64552688690619e-05
"2011-10-03","CNIL","Mission Olivennes",2.95545392077905e-05
"2011-10-03","CNIL","Mission Zelnik",6.12119975515198e-05
"2011-10-03","CNIL","Naïve",0.000196482955103644
"2011-10-03","CNIL","Nicolas Sarkozy",8.03793907242184e-06
"2011-10-03","CNIL","Olivier Henrard",0.000196482955103644
"2011-10-03","François Fillon","Frédéric Mitterrand",9.27826681975807e-05
"2011-10-03","François Fillon","Guillaume Cerutti",0.0032520325203252
"2011-10-03","François Fillon","Jacques Toubon",0.000591278640059128
"2011-10-03","François Fillon","Mission Olivennes",0.000181171728151822
"2011-10-03","François Fillon","Mission Zelnik",0.000375234521575983
"2011-10-03","François Fillon","Naïve",0.00120445648900933
"2011-10-03","François Fillon","Nicolas Sarkozy",4.92732200049274e-05
"2011-10-03","François Fillon","Olivier Henrard",0.00120445648900933
"2011-10-03","Frédéric Mitterrand","Guillaume Cerutti",0.000570613409415122
"2011-10-03","Frédéric Mitterrand","Jacques Toubon",0.000103747892620931
"2011-10-03","Frédéric Mitterrand","Mission Olivennes",3.17890478782798e-05
"2011-10-03","Frédéric Mitterrand","Mission Zelnik",6.58400087786677e-05
"2011-10-03","Frédéric Mitterrand","Naïve",0.000211338299783378
"2011-10-03","Frédéric Mitterrand","Nicolas Sarkozy",8.64565771841097e-06
"2011-10-03","Frédéric Mitterrand","Olivier Henrard",0.000211338299783378
"2011-10-03","Guillaume Cerutti","Jacques Toubon",0.00363636363636364
"2011-10-03","Guillaume Cerutti","Mission Olivennes",0.0011142061281337
"2011-10-03","Guillaume Cerutti","Mission Zelnik",0.0023076923076923
"2011-10-03","Guillaume Cerutti","Naïve",0.0074074074074074
"2011-10-03","Guillaume Cerutti","Nicolas Sarkozy",0.000303030303030304
"2011-10-03","Guillaume Cerutti","Olivier Henrard",0.0074074074074074
"2011-10-03","Jacques Toubon","Mission Olivennes",0.000202582932387946
"2011-10-03","Jacques Toubon","Mission Zelnik",0.000419580419580419
"2011-10-03","Jacques Toubon","Naïve",0.00134680134680135
"2011-10-03","Jacques Toubon","Nicolas Sarkozy",5.50964187327826e-05
"2011-10-03","Jacques Toubon","Olivier Henrard",0.00134680134680135
"2011-10-03","Mission Olivennes","Mission Zelnik",0.000128562245553888
"2011-10-03","Mission Olivennes","Naïve",0.000412668936345816
"2011-10-03","Mission Olivennes","Nicolas Sarkozy",1.68819110323289e-05
"2011-10-03","Mission Olivennes","Olivier Henrard",0.000412668936345816
"2011-10-03","Mission Zelnik","Naïve",0.000854700854700851
"2011-10-03","Mission Zelnik","Nicolas Sarkozy",3.4965034965035e-05
"2011-10-03","Mission Zelnik","Olivier Henrard",0.000854700854700851
"2011-10-03","Naïve","Nicolas Sarkozy",0.000112233445566779
"2011-10-03","Naïve","Olivier Henrard",0.0027434842249657
"2011-10-03","Nicolas Sarkozy","Olivier Henrard",0.000112233445566779
"2011-10-03","Éric Walter","Hadopi-CPD",5.57025483915889e-05
"2011-10-03","Éric Walter","Mission Olivennes",6.67189298283655e-05
"2011-10-03","Éric Walter","Spotify",9.65810314854163e-05
"2011-10-03","Éric Walter","TMG",4.18742933712994e-05
"2011-10-03","Hadopi-CPD","Mission Olivennes",5.1823540843428e-05
"2011-10-03","Hadopi-CPD","Spotify",7.50187546886721e-05
"2011-10-03","Hadopi-CPD","TMG",3.25256139209628e-05
"2011-10-03","Mission Olivennes","Spotify",8.98553329140084e-05
"2011-10-03","Mission Olivennes","TMG",3.89582562284512e-05
"2011-10-03","Spotify","TMG",5.63952176855403e-05
"2011-11-03","CNIL","Facebook",2.09685367106656e-05
"2012-05-04","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-05-04","François Hollande","UMP",8.50275063983195e-06
"2012-05-04","Nicolas Sarkozy","UMP",3.84556222119674e-06
"2012-07-05","Apple","Arcep",7.40740740740741e-05
"2012-07-05","Apple","CSA",2.00501253132832e-05
"2012-07-05","Apple","Dailymotion",4.81927710843374e-05
"2012-07-05","Arcep","CSA",4.64123271140815e-05
"2012-07-05","Arcep","Dailymotion",0.000111557340473003
"2012-07-05","CSA","Dailymotion",3.01959718573542e-05
"2012-09-05","Aurélie Filippetti","Ministère de la Culture",0.000130599451482304
"2012-09-05","Aurélie Filippetti","Mireille Imbert-Quaretta",2.12889387996232e-05
"2012-09-05","Ministère de la Culture","Mireille Imbert-Quaretta",0.00048227634434531
"2012-01-06","Aurélie Filippetti","Christian Paul",3.65116746079559e-05
"2012-01-06","Aurélie Filippetti","Didier Mathus",9.91411894464204e-05
"2012-01-06","Aurélie Filippetti","FNAC",4.71609130352764e-05
"2012-01-06","Aurélie Filippetti","François Hollande",2.27509932230479e-05
"2012-01-06","Aurélie Filippetti","Mission Olivennes",3.78338243848457e-05
"2012-01-06","Aurélie Filippetti","Nicolas Sarkozy",1.02896537531512e-05
"2012-01-06","Aurélie Filippetti","Patrick Bloche",3.2807591676714e-05
"2012-01-06","Aurélie Filippetti","UMP",8.61823791507586e-06
"2012-01-06","Christian Paul","Didier Mathus",0.000156973549956832
"2012-01-06","Christian Paul","FNAC",7.46714456391876e-05
"2012-01-06","Christian Paul","François Hollande",3.60224059364925e-05
"2012-01-06","Christian Paul","Mission Olivennes",5.99035552760056e-05
"2012-01-06","Christian Paul","Nicolas Sarkozy",1.62919517758228e-05
"2012-01-06","Christian Paul","Patrick Bloche",5.19453534881306e-05
"2012-01-06","Christian Paul","UMP",1.36455433655368e-05
"2012-01-06","Didier Mathus","FNAC",0.000202757502027575
"2012-01-06","Didier Mathus","François Hollande",9.78126642947095e-05
"2012-01-06","Didier Mathus","Mission Olivennes",0.000162657828924628
"2012-01-06","Didier Mathus","Nicolas Sarkozy",4.42380004423801e-05
"2012-01-06","Didier Mathus","Patrick Bloche",0.000141048697062661
"2012-01-06","Didier Mathus","UMP",3.70521323502166e-05
"2012-01-06","FNAC","François Hollande",4.65289410013027e-05
"2012-01-06","FNAC","Mission Olivennes",7.73754255648405e-05
"2012-01-06","FNAC","Nicolas Sarkozy",2.10437710437711e-05
"2012-01-06","FNAC","Patrick Bloche",6.70960815888352e-05
"2012-01-06","FNAC","UMP",1.76254935138183e-05
"2012-01-06","François Hollande","Mission Olivennes",3.73268384634406e-05
"2012-01-06","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-01-06","François Hollande","Patrick Bloche",3.2367958957428e-05
"2012-01-06","François Hollande","UMP",8.50275063983195e-06
"2012-01-06","Mission Olivennes","Nicolas Sarkozy",1.68819110323289e-05
"2012-01-06","Mission Olivennes","Patrick Bloche",5.38263830016283e-05
"2012-01-06","Mission Olivennes","UMP",1.41396716768236e-05
"2012-01-06","Nicolas Sarkozy","Patrick Bloche",1.46391450739277e-05
"2012-01-06","Nicolas Sarkozy","UMP",3.84556222119674e-06
"2012-01-06","Patrick Bloche","UMP",1.2261212879178e-05
"2012-09-06","Aurélie Filippetti","Mireille Imbert-Quaretta",4.25778775992464e-05
"2012-09-06","David El Sayegh","Mission Lescure",0.000222684085510689
"2012-09-06","David El Sayegh","Mission Olivennes",0.000174094707520891
"2012-09-06","David El Sayegh","SNEP",0.000297619047619047
"2012-09-06","Mission Lescure","Mission Olivennes",1.98492778171087e-05
"2012-09-06","Mission Lescure","SNEP",3.39328130302002e-05
"2012-09-06","Mission Olivennes","SNEP",2.65287173365167e-05
"2013-09-06","CSA","Mireille Imbert-Quaretta",3.14265287042057e-05
"2012-12-06","Amazon","Apple",7.61904761904762e-05
"2012-12-06","Amazon","Aurélie Filippetti",6.46778235912362e-05
"2012-12-06","Amazon","François Hollande",6.38111190875009e-05
"2012-12-06","Amazon","Mission Lescure",6.78656260604003e-05
"2012-12-06","Apple","Aurélie Filippetti",2.71646859083192e-05
"2012-12-06","Apple","François Hollande",2.68006700167504e-05
"2012-12-06","Apple","Mission Lescure",2.85035629453682e-05
"2012-12-06","Aurélie Filippetti","François Hollande",2.27509932230479e-05
"2012-12-06","Aurélie Filippetti","Mission Lescure",2.41965729587166e-05
"2012-12-06","François Hollande","Mission Lescure",2.38723307750152e-05
"2012-06-07","Arnaud Montebourg","François Hollande",0.000159527797718752
"2012-06-07","Arnaud Montebourg","ISF",0.00366300366300366
"2012-06-07","Arnaud Montebourg","Jean-Marc Ayrault",0.0006568144499179
"2012-06-07","Arnaud Montebourg","Nicolas Sarkozy",7.21500721500724e-05
"2012-06-07","François Hollande","ISF",0.000515397500322123
"2012-06-07","François Hollande","Jean-Marc Ayrault",9.24161035060361e-05
"2012-06-07","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-06-07","ISF","Jean-Marc Ayrault",0.00212201591511937
"2012-06-07","ISF","Nicolas Sarkozy",0.000233100233100234
"2012-06-07","Jean-Marc Ayrault","Nicolas Sarkozy",4.17972831765938e-05
"2011-07-07","Conseil d'Etat","CSA",2.91426240018651e-05
"2011-07-07","Conseil d'Etat","Nicolas Sarkozy",1.76180408738549e-05
"2011-07-07","CSA","Nicolas Sarkozy",7.59474443684972e-06
"2011-09-07","CNIL","Martine Aubry",6.13299397433341e-05
"2012-02-08","Finances","Justice",0.000676132521974307
"2012-02-08","Finances","Megaupload",0.000465008137642408
"2012-02-08","Finances","V/U",0.000197394393999211
"2012-02-08","Finances","Warner",0.00115340253748558
"2012-02-08","Justice","Megaupload",4.54318295397755e-05
"2012-02-08","Justice","V/U",1.92856591838309e-05
"2012-02-08","Justice","Warner",0.000112688753662385
"2012-02-08","Megaupload","V/U",1.32636549327533e-05
"2012-02-08","Megaupload","Warner",7.75013562737347e-05
"2012-02-08","V/U","Warner",3.28990656665351e-05
"2012-05-08","CSA","Fleur Pellerin",6.18831028187754e-05
"2012-05-08","CSA","France Télévisions",6.59543595831684e-05
"2012-05-08","CSA","François Hollande",1.67923997598687e-05
"2012-05-08","CSA","Lagardère",0.000192789666473877
"2012-05-08","CSA","Nicolas Sarkozy",7.59474443684972e-06
"2012-05-08","CSA","UMP",6.36108036588932e-06
"2012-05-08","Fleur Pellerin","France Télévisions",0.000324886289798571
"2012-05-08","Fleur Pellerin","François Hollande",8.27181173356495e-05
"2012-05-08","Fleur Pellerin","Lagardère",0.000949667616334285
"2012-05-08","Fleur Pellerin","Nicolas Sarkozy",3.74111485222598e-05
"2012-05-08","Fleur Pellerin","UMP",3.13342106912326e-05
"2012-05-08","France Télévisions","François Hollande",8.81600987393105e-05
"2012-05-08","France Télévisions","Lagardère",0.00101214574898785
"2012-05-08","France Télévisions","Nicolas Sarkozy",3.9872408293461e-05
"2012-05-08","France Télévisions","UMP",3.33956719209189e-05
"2012-05-08","François Hollande","Lagardère",0.000257698750161062
"2012-05-08","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-05-08","François Hollande","UMP",8.50275063983195e-06
"2012-05-08","Lagardère","Nicolas Sarkozy",0.000116550116550117
"2012-05-08","Lagardère","UMP",9.76181179226863e-05
"2012-05-08","Nicolas Sarkozy","UMP",3.84556222119674e-06
"2012-05-08","Aurélie Filippetti","CNC",6.92976681334676e-05
"2012-05-08","Aurélie Filippetti","Fleur Pellerin",8.38416231738248e-05
"2012-05-08","Aurélie Filippetti","France Télévisions",8.93575194352605e-05
"2012-05-08","Aurélie Filippetti","François Hollande",2.27509932230479e-05
"2012-05-08","Aurélie Filippetti","Frédéric Mitterrand",1.93756675522962e-05
"2012-05-08","Aurélie Filippetti","Nicolas Sarkozy",1.02896537531512e-05
"2012-05-08","CNC","Fleur Pellerin",0.000251952632905015
"2012-05-08","CNC","France Télévisions",0.000268528464017187
"2012-05-08","CNC","François Hollande",6.83690561651798e-05
"2012-05-08","CNC","Frédéric Mitterrand",5.82258581035841e-05
"2012-05-08","CNC","Nicolas Sarkozy",3.09214594928883e-05
"2012-05-08","Fleur Pellerin","France Télévisions",0.000324886289798571
"2012-05-08","Fleur Pellerin","François Hollande",8.27181173356495e-05
"2012-05-08","Fleur Pellerin","Frédéric Mitterrand",7.0446099927793e-05
"2012-05-08","Fleur Pellerin","Nicolas Sarkozy",3.74111485222598e-05
"2012-05-08","France Télévisions","François Hollande",8.81600987393105e-05
"2012-05-08","France Télévisions","Frédéric Mitterrand",7.50807117651476e-05
"2012-05-08","France Télévisions","Nicolas Sarkozy",3.9872408293461e-05
"2012-05-08","François Hollande","Frédéric Mitterrand",1.91160271160845e-05
"2012-05-08","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-05-08","Frédéric Mitterrand","Nicolas Sarkozy",8.64565771841097e-06
"2011-07-08","Verizon","Warner",0.00150829562594268
"2012-10-08","Amazon","Apple",7.61904761904762e-05
"2012-10-08","Amazon","Facebook",7.52870318087708e-05
"2012-10-08","Amazon","FNAC",0.000132275132275132
"2012-10-08","Amazon","Mission Lescure",4.52437507069335e-05
"2012-10-08","Amazon","Sony",0.000107613666935701
"2012-10-08","Apple","Facebook",3.16205533596838e-05
"2012-10-08","Apple","FNAC",5.55555555555555e-05
"2012-10-08","Apple","Mission Lescure",1.90023752969121e-05
"2012-10-08","Apple","Sony",4.51977401129943e-05
"2012-10-08","Facebook","FNAC",5.48967940272287e-05
"2012-10-08","Facebook","Mission Lescure",1.87770506886483e-05
"2012-10-08","Facebook","Sony",4.46617985306268e-05
"2012-10-08","FNAC","Mission Lescure",3.29902348904723e-05
"2012-10-08","FNAC","Sony",7.84682988072818e-05
"2012-10-08","Mission Lescure","Sony",2.68395131312317e-05
"2013-12-08","CNC","Neelie Kroes",0.000816326530612248
"2012-05-09","France Télévisions","François Hollande",8.81600987393105e-05
"2012-05-09","France Télévisions","Nicolas Sarkozy",3.9872408293461e-05
"2012-05-09","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-05-09","Aurélie Filippetti","CNC",6.92976681334676e-05
"2012-05-09","Aurélie Filippetti","Fleur Pellerin",8.38416231738248e-05
"2012-05-09","Aurélie Filippetti","France Télévisions",8.93575194352605e-05
"2012-05-09","Aurélie Filippetti","François Hollande",2.27509932230479e-05
"2012-05-09","Aurélie Filippetti","Frédéric Mitterrand",1.93756675522962e-05
"2012-05-09","Aurélie Filippetti","Nicolas Sarkozy",1.02896537531512e-05
"2012-05-09","CNC","Fleur Pellerin",0.000251952632905015
"2012-05-09","CNC","France Télévisions",0.000268528464017187
"2012-05-09","CNC","François Hollande",6.83690561651798e-05
"2012-05-09","CNC","Frédéric Mitterrand",5.82258581035841e-05
"2012-05-09","CNC","Nicolas Sarkozy",3.09214594928883e-05
"2012-05-09","Fleur Pellerin","France Télévisions",0.000324886289798571
"2012-05-09","Fleur Pellerin","François Hollande",8.27181173356495e-05
"2012-05-09","Fleur Pellerin","Frédéric Mitterrand",7.0446099927793e-05
"2012-05-09","Fleur Pellerin","Nicolas Sarkozy",3.74111485222598e-05
"2012-05-09","France Télévisions","François Hollande",8.81600987393105e-05
"2012-05-09","France Télévisions","Frédéric Mitterrand",7.50807117651476e-05
"2012-05-09","France Télévisions","Nicolas Sarkozy",3.9872408293461e-05
"2012-05-09","François Hollande","Frédéric Mitterrand",1.91160271160845e-05
"2012-05-09","François Hollande","Nicolas Sarkozy",1.01517689457388e-05
"2012-05-09","Frédéric Mitterrand","Nicolas Sarkozy",8.64565771841097e-06
"2012-05-09","CSA","Fleur Pellerin",6.18831028187754e-05
"2012-05-09","CSA","France Télévisions",6.59543595831684e-05
"2012-05-09","CSA","François Hollande",1.67923997598687e-05
"2012-05-09","CSA","INA",0.00016169455897809
"2012-05-09","CSA","Lagardère",0.000192789666473877
"2012-05-09","CSA","Nicolas Sarkozy",7.59474443684972e-06
"2012-05-09","CSA","UMP",6.36108036588932e-06
"2012-05-09","Fleur Pellerin","France Télévisions",0.000324886289798571
"2012-05-09","Fleur Pellerin","François Hollande",8.27181173356495e-05
"2012-05-09","Fleur Pellerin","INA",0.000796495420151335
"2012-05-09","Fleur Pellerin","Lagardère",0.000949667616334285
"2012-05-09","Fleur Pellerin","Nicolas Sarkozy",3.74111485222598e-05
"2012-05-09","Fleur Pellerin","UMP",3.13342106912326e-05
"2012-05-09","France Télévisions","François Hollande",8.81600987393105e-05
"2012-05-09","France Télévisions","INA",0.000848896434634973
"2012-05-09","France Télévisions","Lagardère",0.00101214574898785
"2012-05-09","France Télévisions","Nicolas Sarkozy",3.9872408293461e-05
